"","neighborhood","ofns_desc","count"
"220","Bensonhurst","HOMICIDE-NEGLIGENT,UNCLASSIFIE",2
"221","Bensonhurst","INTOXICATED & IMPAIRED DRIVING",284
"222","Bensonhurst","KIDNAPPING",1
"223","Bensonhurst","KIDNAPPING & RELATED OFFENSES",11
"224","Bensonhurst","LOITERING",1
"225","Bensonhurst","LOITERING/GAMBLING (CARDS, DIC",1
"226","Bensonhurst","MISCELLANEOUS PENAL LAW",1143
"227","Bensonhurst","MURDER & NON-NEGL. MANSLAUGHTER",13
"228","Bensonhurst","NYS LAWS-UNCLASSIFIED FELONY",10
"229","Bensonhurst","NYS LAWS-UNCLASSIFIED VIOLATION",1
"230","Bensonhurst","OFF. AGNST PUB ORD SENSBLTY &",1493
"231","Bensonhurst","OFFENSES AGAINST PUBLIC ADMINI",264
"232","Bensonhurst","OFFENSES AGAINST PUBLIC SAFETY",2
"233","Bensonhurst","OFFENSES AGAINST THE PERSON",75
"234","Bensonhurst","OFFENSES INVOLVING FRAUD",68
"235","Bensonhurst","OFFENSES RELATED TO CHILDREN",3
"236","Bensonhurst","OTHER OFFENSES RELATED TO THEF",59
"237","Bensonhurst","OTHER STATE LAWS",3
"238","Bensonhurst","OTHER STATE LAWS (NON PENAL LA",22
"239","Bensonhurst","PETIT LARCENY",7762
"240","Bensonhurst","PETIT LARCENY OF MOTOR VEHICLE",10
"241","Bensonhurst","POSSESSION OF STOLEN PROPERTY",52
"242","Bensonhurst","RAPE",91
"243","Bensonhurst","ROBBERY",763
"244","Bensonhurst","SEX CRIMES",461
"245","Bensonhurst","THEFT-FRAUD",282
"246","Bensonhurst","UNAUTHORIZED USE OF A VEHICLE",161
"247","Bensonhurst","VEHICLE AND TRAFFIC LAWS",492
"248","Borough Park","ADMINISTRATIVE CODE",54
"249","Borough Park","AGRICULTURE & MRKTS LAW-UNCLASSIFIED",2
"250","Borough Park","ALCOHOLIC BEVERAGE CONTROL LAW",5
"251","Borough Park","ARSON",27
"252","Borough Park","ASSAULT 3 & RELATED OFFENSES",2415
"253","Borough Park","BURGLAR'S TOOLS",9
"254","Borough Park","BURGLARY",1033
"255","Borough Park","CRIMINAL MISCHIEF & RELATED OF",2669
"256","Borough Park","CRIMINAL TRESPASS",142
"257","Borough Park","DANGEROUS DRUGS",336
"258","Borough Park","DANGEROUS WEAPONS",108
"259","Borough Park","DISORDERLY CONDUCT",2
"260","Borough Park","FELONY ASSAULT",980
"261","Borough Park","FORGERY",91
"262","Borough Park","FRAUDS",54
"263","Borough Park","GAMBLING",28
"264","Borough Park","GRAND LARCENY",2827
"265","Borough Park","GRAND LARCENY OF MOTOR VEHICLE",553
"266","Borough Park","HARRASSMENT 2",3626
