"ofns_desc","Incident_Count","year","boro_nm"
"FELONY ASSAULT",610,2021,"STATEN ISLAND"
"THEFT-FRAUD",485,2021,"STATEN ISLAND"
"DANGEROUS DRUGS",464,2021,"STATEN ISLAND"
"PETIT LARCENY",113665,2022,"Overall"
"HARRASSMENT 2",82061,2022,"Overall"
"ASSAULT 3 & RELATED OFFENSES",54628,2022,"Overall"
"GRAND LARCENY",48806,2022,"Overall"
"CRIMINAL MISCHIEF & RELATED OF",44157,2022,"Overall"
"FELONY ASSAULT",25966,2022,"Overall"
"OFF. AGNST PUB ORD SENSBLTY &",18038,2022,"Overall"
"ROBBERY",17382,2022,"Overall"
"BURGLARY",15630,2022,"Overall"
"MISCELLANEOUS PENAL LAW",15613,2022,"Overall"
"HARRASSMENT 2",18805,2022,"BRONX"
"PETIT LARCENY",18196,2022,"BRONX"
"ASSAULT 3 & RELATED OFFENSES",13832,2022,"BRONX"
"CRIMINAL MISCHIEF & RELATED OF",8748,2022,"BRONX"
"GRAND LARCENY",7562,2022,"BRONX"
"FELONY ASSAULT",7457,2022,"BRONX"
"ROBBERY",5146,2022,"BRONX"
"OFF. AGNST PUB ORD SENSBLTY &",4292,2022,"BRONX"
"GRAND LARCENY OF MOTOR VEHICLE",3969,2022,"BRONX"
"VEHICLE AND TRAFFIC LAWS",3110,2022,"BRONX"
"PETIT LARCENY",29300,2022,"BROOKLYN"
"HARRASSMENT 2",24581,2022,"BROOKLYN"
"ASSAULT 3 & RELATED OFFENSES",15179,2022,"BROOKLYN"
"CRIMINAL MISCHIEF & RELATED OF",12638,2022,"BROOKLYN"
"GRAND LARCENY",12287,2022,"BROOKLYN"
"FELONY ASSAULT",7473,2022,"BROOKLYN"
"OFF. AGNST PUB ORD SENSBLTY &",5652,2022,"BROOKLYN"
"MISCELLANEOUS PENAL LAW",5449,2022,"BROOKLYN"
"BURGLARY",4472,2022,"BROOKLYN"
"ROBBERY",4462,2022,"BROOKLYN"
"PETIT LARCENY",36416,2022,"MANHATTAN"
"GRAND LARCENY",17793,2022,"MANHATTAN"
"HARRASSMENT 2",16579,2022,"MANHATTAN"
"ASSAULT 3 & RELATED OFFENSES",11778,2022,"MANHATTAN"
"CRIMINAL MISCHIEF & RELATED OF",9833,2022,"MANHATTAN"
"FELONY ASSAULT",5127,2022,"MANHATTAN"
"BURGLARY",4659,2022,"MANHATTAN"
"ROBBERY",4171,2022,"MANHATTAN"
"OFF. AGNST PUB ORD SENSBLTY &",3664,2022,"MANHATTAN"
"DANGEROUS DRUGS",3187,2022,"MANHATTAN"
"PETIT LARCENY",24956,2022,"QUEENS"
"HARRASSMENT 2",17439,2022,"QUEENS"
"ASSAULT 3 & RELATED OFFENSES",11625,2022,"QUEENS"
"CRIMINAL MISCHIEF & RELATED OF",10567,2022,"QUEENS"
"GRAND LARCENY",9863,2022,"QUEENS"
"FELONY ASSAULT",5127,2022,"QUEENS"
"MISCELLANEOUS PENAL LAW",4067,2022,"QUEENS"
"GRAND LARCENY OF MOTOR VEHICLE",3585,2022,"QUEENS"
"OFF. AGNST PUB ORD SENSBLTY &",3331,2022,"QUEENS"
"ROBBERY",3313,2022,"QUEENS"
